figure	published	ID	Nt	density	evaporation	plate_ID	set	person	organism	strain	genotype	included	sep_2a	marker	Environment	lineage	phi	mmss	mutation_rate	N0	background	luminescence	SD_Nt	cell_count	Competition_time	V	C_plates	environment_Glc	environment_YP	SD_mutation_rate	Lnet_per_cell	SD_mmss_plates	Nt_N0_strain	generations	generation_time	Wabs	coefficient_of_variation	N0_Nt	Luminescence_gross	background_per_cell	background_per_Lnet	mmss_per_V	DNA_repair	Ne	mutation_supply	believed_plastic	occurrence_in_table	genotype_marker	sep_2b	nominal_growth_rate	Growth period	m_per_Vt
Nc	yes	03_01	346775000	404166667			3	R	Escherichia coli	B	0_plus		_Rif50	Rif50	Glc1000	1	0.99998103	0.751	2.1657	6578			91263805.5		24	1	24	1000		0.1960275		0.27365532	52717.3913	15.6859914	91.8016571	15.6859914	36.4387903	0.00001897				0.751		54880.7758	0.00011886	plastic	1	0_plus_Rif50	_0_plus	0.7726	20.302862232	0.0369898584
Nc	yes	20_06	205021125	236250000			20	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc1000	1	0.99997893	0.814	3.9703	4320			26919911.7		24	1	17	1000		0.19243421		0.31700414	47458.5938	15.5343817	92.6976062	15.5343817	38.9439981	0.00002107				0.814		35714.6639	0.0001418	non-plastic	1	luxS_Rif50	_luxS	0.9701558	16.012254663	0.0508360638
Nc	yes	21_01	126743188	143125000			21	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99992189	0.739	5.8189	9900			8061632.14		24	1	20	100		0.15728822		0.30129928	12802.3422	13.6441202	105.539968	13.6441202	40.7712151	0.00007811				0.739		72491.3943	0.00042182	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.063844336	0.0525460878
Nc	yes	21_02	196416875	223750000			21	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99996029	0.846	4.3163	7800			40406564.6		24	1	20	250		0.17280684		0.288735	25181.6506	14.6200852	98.4946378	14.6200852	34.1294322	3.97115e-5				0.846		60919.6151	0.00026295	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.069832323	0.0561386472
Nc	yes	21_03	123680750	141250000			21	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99992675	0.346	2.7903	9060			22924121.7		24	1	20	100		0.19826272		0.38265917	13651.2969	13.7367504	104.828286	13.7367504	110.595134	7.32531e-5				0.346		66760.053	0.00018628	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.159324097	0.0244361947
Nc	yes	21_04	221796375	253125000			21	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99996646	1.518	6.8378	7440			35137580.7		24	1	20	250		0.14949354		0.24017095	29811.3407	14.8635736	96.8811428	14.8635736	15.8215385	3.35443e-5				1.518		59013.5173	0.00040352	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.320810987	0.0990809169
Nc	yes	22_01	97487375	118125000			22	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99990727	1.038	10.6462	9040			15306795.3		24	1	20	100		0.13003336		0.27071912	10784.0017	13.396605	107.48992	13.396605	26.0808398	0.00009273				1.038		65075.8389	0.00069281	plastic	1	MG1665_Rif50	_MG1665	0.9701558	13.808715057	0.0751699196
Nc	yes	22_02	151320625	181250000			22	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99995189	0.689	4.5532	7280			8317106.03		24	1	20	250		0.16992267		0.30802221	20785.8001	14.3433107	100.395232	14.3433107	44.7056912	0.00004811				0.689		55851.0627	0.0002543	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.784543539	0.0466027239
Nc	yes	22_03	153410500	185625000			22	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc300	1	0.99994459	0.54	3.52	8500			34289535.4		24	1	20	300		0.18427234		0.33259603	18048.2941	14.1395749	101.841817	14.1395749	61.5918568	5.54069e-5				0.54		64345.0198	0.00022649	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.57454036	0.0370509112
Nc	yes	22_04	91627187.5	111250000			22	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc350	1	0.999926	0.627	6.8429	6780			7300687.33		24	1	20	350		0.14945843		0.31730858	13514.3344	13.7222028	104.939419	13.7222028	50.607429	7.39955e-5				0.627		49910.2139	0.00034153	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.144329027	0.0443287199
Nc	yes	22_05	112935188	135000000			22	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99992049	0.361	3.1965	8980			14012586.3		24	1	20	100		0.18995405		0.37757769	12576.3015	13.6184201	105.739138	13.6184201	104.592157	7.95146e-5				0.361		65639.4738	0.00020982	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.03735368	0.025717098
Nc	yes	22_06	153519438	185000000			22	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99995414	0.458	2.9833	7040			25868691.7		24	1	20	250		0.19412951		0.35030672	21806.7383	14.4124864	99.9133642	14.4124864	76.4861828	4.58574e-5				0.458		54253.2663	0.00016185	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.855847253	0.0308296115
Nc	yes	22_07	119524938	144375000			22	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc300	1	0.99993909	0.627	5.2458	7280			27705180		24	1	20	300		0.16251011		0.31730858	16418.2606	14.0030137	102.835006	14.0030137	50.607429	6.09078e-5				0.627		54612.6339	0.00028649	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.43377824	0.0434397695
Nc	yes	22_08	107854750	131250000			22	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc350	1	0.99993417	0.686	6.3604	7100			21704908.4		24	1	20	350		0.15294085		0.30844589	15190.8099	13.8909112	103.664906	13.8909112	44.9629584	0.00006583				0.686		52864.5239	0.00033624	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.318227201	0.0479109593
Nc	yes	24_01	106489750	120625000			24	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99992088	0.531	4.9864	8425			27676644.7		24	1	28	100		0.13955781		0.28258708	12639.7329	13.6256784	105.682812	13.6256784	53.2179055	7.91156e-5				0.531		61613.2542	0.00030723	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.044835233	0.0378074923
Nc	yes	24_02	233439063	265625000			24	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99997644	0.932	3.9925	5500			18422291.8		24	1	28	250		0.1496804		0.23669608	42443.4659	15.3732549	93.6691686	15.3732549	25.3965748	0.00002356				0.932		45027.0097	0.00017977	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.846171151	0.0588154697
Nc	yes	24_03	102174125	116250000			24	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99991143	0.612	5.9898	9050			17558908		24	1	28	100		0.13172621		0.27022802	11289.9586	13.4627526	106.961782	13.4627526	44.1549048	8.85743e-5				0.612		65447.0257	0.00039201	non-plastic	1	luxS_Rif50	_luxS	0.9701558	13.876897474	0.0441020769
Nc	yes	24_04	214184625	243125000			24	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99997666	0.964	4.5008	5000			32703707.6		24	1	28	250		0.14413545		0.23419241	42836.925	15.3865673	93.588126	15.3865673	24.293818	2.33443e-5				0.964		40966.9225	0.00018438	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.859893123	0.0607822507
Nc	yes	27_01	96447166.7	110833333			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99990399	0.714	7.403	9260			17584357.1		24	1	21	100		0.14228627		0.29724291	10415.4608	13.346439	107.893948	13.346439	41.6306597	9.60111e-5				0.714		66427.3649	0.00049176	plastic	1	MG1665_Rif50	_MG1665	0.9701558	13.757005878	0.0519008283
Nc	yes	27_02	183467167	210833333			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99995803	0.867	4.7256	7700			25954483.9		24	1	21	250		0.16389756		0.27960854	23826.9048	14.5403039	99.0350688	14.5403039	32.2501195	0.00004197				0.867		59831.5028	0.00028274	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.987596765	0.0578478334
Nc	yes	27_04	203771833	234166667			27	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99996516	0.666	3.2684	7100			32292315.7		24	1	21	250		0.1840818		0.30383098	28700.2582	14.8087761	97.2396362	14.8087761	45.6202678	3.48429e-5				0.666		56122.1752	0.00018343	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.264327747	0.0436311386
Nc	yes	27_05	115008333	123333333			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99993392	0.443	3.8519	7600			13659878.4		24	1	21	100		0.17479895		0.34546915	15132.6754	13.8853795	103.706204	13.8853795	77.9840061	6.60822e-5				0.443		56566.3661	0.00021789	plastic	1	MG1665_Rif50	_MG1665	0.9701558	14.312525325	0.0309519103
Nc	yes	27_06	192716667	206666667			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99996451	0.937	4.8621	6840			46293561.6		24	1	21	250		0.16243399		0.27285283	28174.9513	14.7821255	97.4149489	14.7821255	29.119833	3.54925e-5				0.937		53975.8722	0.00026244	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.236857312	0.0614956208
Nc	yes	27_07	111122917	119166667			27	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99994349	0.433	3.8966	6280			44314194.8		24	1	21	100		0.17416481		0.34796275	17694.732	14.1110323	102.047814	14.1110323	80.3609121	5.6514e-5				0.433		47450.0091	0.00018489	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.54511975	0.0297694352
Nc	yes	27_08	191162500	205000000			27	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99995533	0.761	3.9809	8540			22238707.6		24	1	21	250		0.17299452		0.2913334	22384.3677	14.4502039	99.6525728	14.4502039	38.2829695	4.4674e-5				0.761		65973.931	0.00026264	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.8947251	0.0510919131
Nc	yes	27_09	92333333.3	104166667			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc100	1	0.99991531	0.654	7.083	7820			20590126.3		24	1	21	100		0.14428062		0.30557615	11807.3316	13.5273953	106.450648	13.5273953	46.7241815	8.46931e-5				0.654		56804.6686	0.00040235	plastic	1	MG1665_Rif50	_MG1665	0.9701558	13.943528805	0.0469034782
Nc	yes	27_10	182450667	205833333			27	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99997369	0.754	4.1326	4800			18048273.6		24	1	21	250		0.17096849		0.29218268	38010.5556	15.2141125	94.648965	15.2141125	38.7510185	2.63085e-5				0.754		38914.4002	0.00016082	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.682133211	0.0480801935
Nc	yes	27_11	96765333.3	109166667			27	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc100	1	0.99991547	0.533	5.5082	8180			16779281.2		24	1	21	100		0.15617387		0.32591727	11829.5029	13.5301018	106.429354	13.5301018	61.147705	8.45344e-5				0.533		59430.7824	0.00032736	non-plastic	1	luxS_Rif50	_luxS	0.9701558	13.946318544	0.0382179712
Nc	yes	27_12	176541333	199166667			27	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99995276	0.538	3.0474	8340			27707385.7		24	1	21	250		0.18818658		0.32496009	21168.0256	14.3695991	100.211564	14.3695991	60.4015035	4.72411e-5				0.538		64092.8227	0.00019532	non-plastic	1	luxS_Rif50	_luxS	0.9701558	14.811640656	0.0363227824
Nc	yes	28_09	89580000	100000000			28	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc80	1	0.99989925	0.609	6.7984	9025			21625964.6		24	1	21	80		0.14615656		0.31251581	9925.76177	13.2769621	108.458546	13.2769621	51.3162251	0.00010075				0.609		64428.1794	0.00043801	plastic	1	MG1665_Rif50	_MG1665	0.9701558	13.68539168	0.0445000051
Nc	yes	28_10	91259625	101875000			28	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc90	1	0.99990275	0.536	5.8734	8875			6992836.51		24	1	21	90		0.15304749		0.32534155	10282.7746	13.327942	108.043688	13.327942	60.6980505	0.00009725				0.536		63583.487	0.00037345	plastic	1	MG1665_Rif50	_MG1665	0.9701558	13.737939809	0.0390160393
Nc	yes	30_03	235467000	270000000			30	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99998875	0.627	2.6628	2650			32558075.6		25	1	21	250		0.19635628		0.30966147	88855.4717	16.439173	91.2454659	15.7816061	49.3877937	1.12542e-5				0.627		23107.0418	0.00006153	plastic	1	MG1665_Rif50	_MG1665	0.9701558	16.267084193	0.0385440926
Nc	yes	30_04	221658750	254166667			30	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99999154	0.831	3.749	1875			28371188.2		25	1	21	250		0.17629625		0.28336886	118218	16.8510902	89.0150123	16.1770466	34.0997422	8.45895e-6				0.831		16735.4704	6.27413e-5	non-plastic	1	luxS_Rif50	_luxS	0.9701558	16.674689349	0.0498360109
Nc	yes	30_07	212531000	231666667			30	R	Escherichia coli	MG1665	MG1665		_Rif50	Rif50	Glc250	1	0.99998494	0.856	4.0276	3200			18679474.5		25	1	21	250		0.17236014		0.28073542	66415.9375	16.0192419	93.6373902	15.3784722	32.7961936	1.50566e-5				0.856		27230.9927	0.00010968	plastic	1	MG1665_Rif50	_MG1665	0.9701558	15.851548983	0.0540010318
Nc	yes	30_08	202592500	220833333			30	R	Escherichia coli	MG1665	luxS		_Rif50	Rif50	Glc250	1	0.99998618	0.684	3.3762	2800			15270875.5		25	1	21	250		0.18220973		0.30128934	72354.4643	16.1427944	92.9207151	15.4970826	44.0481495	0.00001382				0.684		24000.0822	0.00008103	non-plastic	1	luxS_Rif50	_luxS	0.9701558	15.973808163	0.0428200961
