Well,Sample,PriorAvg,PostAvg,Post2Avg,PriorRaw,PostRaw,Post2Raw,OD_bc,time,AddH2O2,Strain,Glucose,LB,Catalase,RepNum,Week,Block,CellRemovalMethod,GAIN,Treatment,NetAvg,Repeat,Nutrient,NetFU
F04,Sample X11,1638.3,57707,59577.7,1630,57062,60274,NA,0,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,56068.7,hpx5_00_.,LB,55432
F05,Sample X12,1719,69936.7,71955.7,1828,69972,72192,NA,0,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,68217.7,MG2_00_.,LB,68144
F06,Sample X13,1611,60599,61289,1604,60349,61516,NA,0,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58988,MG5_00_.,LB,58745
D01,Sample X8,1823.7,64957.3,66098.7,1681,65830,67327,NA,3,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,63133.6,blank2_00_.,LB,64149
D02,Sample X9,1736.3,67982,70530.7,1735,68957,71281,NA,3,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,66245.7,blank5_00_.,LB,67222
D03,Sample X10,1731.3,60534,61548.7,1687,60742,63458,NA,3,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,58802.7,hpx2_00_.,LB,59055
D04,Sample X11,1587,64382,65606.3,1550,65778,65961,NA,3,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,62795,hpx5_00_.,LB,64228
D05,Sample X12,1681,73086.3,74752.7,1808,74161,75258,NA,3,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,71405.3,MG2_00_.,LB,72353
D06,Sample X13,1649,60304.7,61101.3,1558,62722,62702,NA,3,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58655.7,MG5_00_.,LB,61164
E01,Sample X8,1823.7,64957.3,66098.7,2036,66287,65609,NA,3,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,63133.6,blank2_00_.,LB,64251
E02,Sample X9,1736.3,67982,70530.7,1612,69132,70211,NA,3,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,66245.7,blank5_00_.,LB,67520
E03,Sample X10,1731.3,60534,61548.7,1804,61601,60371,NA,3,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,58802.7,hpx2_00_.,LB,59797
E04,Sample X11,1587,64382,65606.3,1652,63390,64925,NA,3,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,62795,hpx5_00_.,LB,61738
E05,Sample X12,1681,73086.3,74752.7,1607,72927,74509,NA,3,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,71405.3,MG2_00_.,LB,71320
E06,Sample X13,1649,60304.7,61101.3,1716,58612,59726,NA,3,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58655.7,MG5_00_.,LB,56896
F01,Sample X8,1823.7,64957.3,66098.7,1754,62755,65360,NA,3,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,63133.6,blank2_00_.,LB,61001
F02,Sample X9,1736.3,67982,70530.7,1862,65857,70100,NA,3,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,66245.7,blank5_00_.,LB,63995
F03,Sample X10,1731.3,60534,61548.7,1703,59259,60817,NA,3,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,58802.7,hpx2_00_.,LB,57556
F04,Sample X11,1587,64382,65606.3,1559,63978,65933,NA,3,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,62795,hpx5_00_.,LB,62419
F05,Sample X12,1681,73086.3,74752.7,1628,72171,74491,NA,3,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,71405.3,MG2_00_.,LB,70543
F06,Sample X13,1649,60304.7,61101.3,1673,59580,60876,NA,3,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,58655.7,MG5_00_.,LB,57907
D01,Sample X8,1776.7,70244.7,72053,1472,71246,71996,NA,6,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68468,blank2_00_.,LB,69774
D02,Sample X9,1917,65717,67425.3,1943,66746,67652,NA,6,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63800,blank5_00_.,LB,64803
D03,Sample X10,1714.3,71539,72554,1480,71712,72088,NA,6,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,69824.7,hpx2_00_.,LB,70232
D04,Sample X11,1681.3,73126,73869.3,1636,73377,73634,NA,6,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,71444.7,hpx5_00_.,LB,71741
D05,Sample X12,1916.7,47941.3,48943,1937,47542,49802,NA,6,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,46024.6,MG2_00_.,LB,45605
D06,Sample X13,1658.3,48886,51192,1563,48758,51642,NA,6,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,47227.7,MG5_00_.,LB,47195
E01,Sample X8,1776.7,70244.7,72053,1893,70635,73171,NA,6,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68468,blank2_00_.,LB,68742
E02,Sample X9,1917,65717,67425.3,1926,64751,67375,NA,6,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63800,blank5_00_.,LB,62825
E03,Sample X10,1714.3,71539,72554,1896,71609,72878,NA,6,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,69824.7,hpx2_00_.,LB,69713
E04,Sample X11,1681.3,73126,73869.3,1561,72455,73067,NA,6,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,71444.7,hpx5_00_.,LB,70894
E05,Sample X12,1916.7,47941.3,48943,1893,47907,48578,NA,6,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,46024.6,MG2_00_.,LB,46014
E06,Sample X13,1658.3,48886,51192,1597,49503,50827,NA,6,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,47227.7,MG5_00_.,LB,47906
F01,Sample X8,1776.7,70244.7,72053,1965,68853,70992,NA,6,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68468,blank2_00_.,LB,66888
F02,Sample X9,1917,65717,67425.3,1882,65654,67249,NA,6,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,63800,blank5_00_.,LB,63772
F03,Sample X10,1714.3,71539,72554,1767,71296,72696,NA,6,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,69824.7,hpx2_00_.,LB,69529
F04,Sample X11,1681.3,73126,73869.3,1847,73546,74907,NA,6,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,71444.7,hpx5_00_.,LB,71699
F05,Sample X12,1916.7,47941.3,48943,1920,48375,48449,NA,6,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,46024.6,MG2_00_.,LB,46455
F06,Sample X13,1658.3,48886,51192,1815,48397,51107,NA,6,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,47227.7,MG5_00_.,LB,46582
D01,Sample X8,2003.7,72162,75414.3,2080,72493,75803,NA,11.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,70158.3,blank2_00_.,LB,70413
D02,Sample X9,1950.7,67791.7,71003,1988,69325,71729,NA,11.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,65841,blank5_00_.,LB,67337
D03,Sample X10,1908.3,65455.7,67934.3,1891,66666,67453,NA,11.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,63547.4,hpx2_00_.,LB,64775
D04,Sample X11,1722.7,52269,53885.3,1721,53320,54219,NA,11.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,50546.3,hpx5_00_.,LB,51599
D05,Sample X12,1909.3,43921,45207.7,1797,44220,45252,NA,11.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,42011.7,MG2_00_.,LB,42423
D06,Sample X13,1938.3,42193.7,43586.3,1952,42767,43783,NA,11.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,40255.4,MG5_00_.,LB,40815
E01,Sample X8,2003.7,72162,75414.3,2081,73675,76383,NA,11.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,70158.3,blank2_00_.,LB,71594
E02,Sample X9,1950.7,67791.7,71003,1872,67208,69280,NA,11.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,65841,blank5_00_.,LB,65336
E03,Sample X10,1908.3,65455.7,67934.3,1982,66910,68878,NA,11.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,63547.4,hpx2_00_.,LB,64928
E04,Sample X11,1722.7,52269,53885.3,1657,51390,53445,NA,11.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,50546.3,hpx5_00_.,LB,49733
E05,Sample X12,1909.3,43921,45207.7,2019,44128,44912,NA,11.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,42011.7,MG2_00_.,LB,42109
E06,Sample X13,1938.3,42193.7,43586.3,1960,41985,42708,NA,11.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,40255.4,MG5_00_.,LB,40025
F01,Sample X8,2003.7,72162,75414.3,1850,70318,74057,NA,11.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,70158.3,blank2_00_.,LB,68468
F02,Sample X9,1950.7,67791.7,71003,1992,66842,72000,NA,11.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,65841,blank5_00_.,LB,64850
F03,Sample X10,1908.3,65455.7,67934.3,1852,62791,67472,NA,11.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,63547.4,hpx2_00_.,LB,60939
F04,Sample X11,1722.7,52269,53885.3,1790,52097,53992,NA,11.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,50546.3,hpx5_00_.,LB,50307
F05,Sample X12,1909.3,43921,45207.7,1912,43415,45459,NA,11.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,42011.7,MG2_00_.,LB,41503
F06,Sample X13,1938.3,42193.7,43586.3,1903,41829,44268,NA,11.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,40255.4,MG5_00_.,LB,39926
D01,Sample X8,1691.7,70418.7,73706.7,1730,71418,73632,NA,17.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68727,blank2_00_.,LB,69688
D02,Sample X9,1680.3,69334.3,72730,1783,69979,74033,NA,17.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,67654,blank5_00_.,LB,68196
D03,Sample X10,1551.3,45669,46880.7,1607,46001,46989,NA,17.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,44117.7,hpx2_00_.,LB,44394
D04,Sample X11,1446.3,36315.3,37884.3,1408,35830,37807,NA,17.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,34869,hpx5_00_.,LB,34422
D05,Sample X12,1492,41027.3,42621,1502,41687,43307,NA,17.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,39535.3,MG2_00_.,LB,40185
D06,Sample X13,1574.3,49928.3,51631,1447,50473,51914,NA,17.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,48354,MG5_00_.,LB,49026
E01,Sample X8,1691.7,70418.7,73706.7,1646,70571,73828,NA,17.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68727,blank2_00_.,LB,68925
E02,Sample X9,1680.3,69334.3,72730,1675,69596,72093,NA,17.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,67654,blank5_00_.,LB,67921
E03,Sample X10,1551.3,45669,46880.7,1600,45956,46775,NA,17.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,44117.7,hpx2_00_.,LB,44356
E04,Sample X11,1446.3,36315.3,37884.3,1342,36228,37297,NA,17.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,34869,hpx5_00_.,LB,34886
E05,Sample X12,1492,41027.3,42621,1500,40476,42137,NA,17.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,39535.3,MG2_00_.,LB,38976
E06,Sample X13,1574.3,49928.3,51631,1522,48862,51173,NA,17.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,48354,MG5_00_.,LB,47340
F01,Sample X8,1691.7,70418.7,73706.7,1699,69267,73660,NA,17.66,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,68727,blank2_00_.,LB,67568
F02,Sample X9,1680.3,69334.3,72730,1583,68428,72064,NA,17.66,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,67654,blank5_00_.,LB,66845
F03,Sample X10,1551.3,45669,46880.7,1447,45050,46878,NA,17.66,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,44117.7,hpx2_00_.,LB,43603
F04,Sample X11,1446.3,36315.3,37884.3,1589,36888,38549,NA,17.66,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,34869,hpx5_00_.,LB,35299
F05,Sample X12,1492,41027.3,42621,1474,40919,42419,NA,17.66,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,39535.3,MG2_00_.,LB,39445
F06,Sample X13,1574.3,49928.3,51631,1754,50450,51806,NA,17.66,NA,MG,0,5,0,NA,RG3,RG3,syringe,2398,MG5_00,48354,MG5_00_.,LB,48696
D01,Sample X8,1686.3,28043.3,28507.3,1224,27984,28658,NA,24,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,26357,blank2_00_.,LB,26760
D02,Sample X9,1176,47263.3,47698.7,1077,47441,47758,NA,24,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,46087.3,blank5_00_.,LB,46364
D03,Sample X10,2517,18569.3,18865.3,1021,18782,18491,NA,24,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,16052.3,hpx2_00_.,LB,17761
D04,Sample X11,1190.3,14320.7,14746,1108,14133,15334,NA,24,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,13130.4,hpx5_00_.,LB,13025
D05,Sample X12,1217.7,19182,19215.3,832,19457,19098,NA,24,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,17964.3,MG2_00_.,LB,18625
E01,Sample X8,1686.3,28043.3,28507.3,1279,28383,28354,NA,24,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,26357,blank2_00_.,LB,27104
E02,Sample X9,1176,47263.3,47698.7,1474,47226,47594,NA,24,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,46087.3,blank5_00_.,LB,45752
E03,Sample X10,2517,18569.3,18865.3,1526,18926,19207,NA,24,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,16052.3,hpx2_00_.,LB,17400
E04,Sample X11,1190.3,14320.7,14746,907,15379,14987,NA,24,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,13130.4,hpx5_00_.,LB,14472
E05,Sample X12,1217.7,19182,19215.3,1514,19560,19072,NA,24,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,17964.3,MG2_00_.,LB,18046
F01,Sample X8,1686.3,28043.3,28507.3,2556,27763,28510,NA,24,NA,blank,0,2,0,NA,RG3,RG3,syringe,2398,blank2_00,26357,blank2_00_.,LB,25207
F02,Sample X9,1176,47263.3,47698.7,977,47123,47744,NA,24,NA,blank,0,5,0,NA,RG3,RG3,syringe,2398,blank5_00,46087.3,blank5_00_.,LB,46146
F03,Sample X10,2517,18569.3,18865.3,5004,18000,18898,NA,24,NA,hpx,0,2,0,NA,RG3,RG3,syringe,2398,hpx2_00,16052.3,hpx2_00_.,LB,12996
F04,Sample X11,1190.3,14320.7,14746,1556,13450,13917,NA,24,NA,hpx,0,5,0,NA,RG3,RG3,syringe,2398,hpx5_00,13130.4,hpx5_00_.,LB,11894
F05,Sample X12,1217.7,19182,19215.3,1307,18529,19476,NA,24,NA,MG,0,2,0,NA,RG3,RG3,syringe,2398,MG2_00,17964.3,MG2_00_.,LB,17222
A01,Sample X1,1030.3,38375.7,39390.7,1070,38106,39262,NA,0,0,MG,80,NA,0,1,RG4,RG4,syringe,2398,MG_080,37345.4,MG_080_1,Glc,37036
A02,Sample X2,1134.3,39165.3,40360.7,983,39033,39703,NA,0,0,MG,1000,NA,0,1,RG4,RG4,syringe,2398,MG_01000,38031,MG_01000_1,Glc,38050
A03,Sample X3,1116,33187.7,33634,1076,33301,32301,NA,0,0,MG,80,NA,0,2,RG4,RG4,syringe,2398,MG_080,32071.7,MG_080_2,Glc,32225
A04,Sample X4,1202.7,35359,38013,1170,35554,37705,NA,0,0,MG,1000,NA,0,2,RG4,RG4,syringe,2398,MG_01000,34156.3,MG_01000_2,Glc,34384
A05,Sample X5,1152.7,37459,39429.3,1149,37312,39468,NA,0,0,blank,80,NA,0,1,RG4,RG4,syringe,2398,blank_080,36306.3,blank_080_1,Glc,36163
A06,Sample X6,1086,36280.7,36568.7,1188,35258,36477,NA,0,0,blank,1000,NA,0,1,RG4,RG4,syringe,2398,blank_01000,35194.7,blank_01000_1,Glc,34070
A07,Sample X7,1067.7,39336.7,40975,928,39276,40764,NA,0,0,blank,80,NA,0,2,RG4,RG4,syringe,2398,blank_080,38269,blank_080_2,Glc,38348
A08,Sample X8,1162,37539.7,37612.3,1145,38210,37676,NA,0,0,blank,1000,NA,0,2,RG4,RG4,syringe,2398,blank_01000,36377.7,blank_01000_2,Glc,37065
A10,Sample X9,1151,177202.3,182772.7,1170,173199,177127,NA,0,0.8,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,176051.3,S_0_.,NA,172029
A11,Sample X10,1135,110195.3,114637.7,1139,108644,110174,NA,0,0.2,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,109060.3,S_0_.,NA,107505
A12,Sample X11,1119.7,38278.7,38962.3,997,38006,37618,NA,0,0.05,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,37159,S_0_.,NA,37009
B01,Sample X1,1030.3,38375.7,39390.7,994,38064,39167,NA,0,0,MG,80,NA,0,1,RG4,RG4,syringe,2398,MG_080,37345.4,MG_080_1,Glc,37070
B02,Sample X2,1134.3,39165.3,40360.7,1109,39126,40448,NA,0,0,MG,1000,NA,0,1,RG4,RG4,syringe,2398,MG_01000,38031,MG_01000_1,Glc,38017
B03,Sample X3,1116,33187.7,33634,1071,33128,33922,NA,0,0,MG,80,NA,0,2,RG4,RG4,syringe,2398,MG_080,32071.7,MG_080_2,Glc,32057
B04,Sample X4,1202.7,35359,38013,1230,35127,37467,NA,0,0,MG,1000,NA,0,2,RG4,RG4,syringe,2398,MG_01000,34156.3,MG_01000_2,Glc,33897
B05,Sample X5,1152.7,37459,39429.3,1170,37646,38896,NA,0,0,blank,80,NA,0,1,RG4,RG4,syringe,2398,blank_080,36306.3,blank_080_1,Glc,36476
B06,Sample X6,1086,36280.7,36568.7,1059,37143,36645,NA,0,0,blank,1000,NA,0,1,RG4,RG4,syringe,2398,blank_01000,35194.7,blank_01000_1,Glc,36084
B07,Sample X7,1067.7,39336.7,40975,1130,39092,40334,NA,0,0,blank,80,NA,0,2,RG4,RG4,syringe,2398,blank_080,38269,blank_080_2,Glc,37962
B08,Sample X8,1162,37539.7,37612.3,1240,37372,37218,NA,0,0,blank,1000,NA,0,2,RG4,RG4,syringe,2398,blank_01000,36377.7,blank_01000_2,Glc,36132
B10,Sample X9,1151,177202.3,182772.7,1189,182611,183469,NA,0,0.8,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,176051.3,S_0_.,NA,181422
B11,Sample X10,1135,110195.3,114637.7,1276,111524,116495,NA,0,0.2,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,109060.3,S_0_.,NA,110248
B12,Sample X11,1119.7,38278.7,38962.3,1088,37521,38562,NA,0,0.05,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,37159,S_0_.,NA,36433
C01,Sample X1,1030.3,38375.7,39390.7,1027,38957,39743,NA,0,0,MG,80,NA,0,1,RG4,RG4,syringe,2398,MG_080,37345.4,MG_080_1,Glc,37930
C02,Sample X2,1134.3,39165.3,40360.7,1311,39337,40931,NA,0,0,MG,1000,NA,0,1,RG4,RG4,syringe,2398,MG_01000,38031,MG_01000_1,Glc,38026
C03,Sample X3,1116,33187.7,33634,1201,33134,34679,NA,0,0,MG,80,NA,0,2,RG4,RG4,syringe,2398,MG_080,32071.7,MG_080_2,Glc,31933
C04,Sample X4,1202.7,35359,38013,1208,35396,38867,NA,0,0,MG,1000,NA,0,2,RG4,RG4,syringe,2398,MG_01000,34156.3,MG_01000_2,Glc,34188
C05,Sample X5,1152.7,37459,39429.3,1139,37419,39924,NA,0,0,blank,80,NA,0,1,RG4,RG4,syringe,2398,blank_080,36306.3,blank_080_1,Glc,36280
C06,Sample X6,1086,36280.7,36568.7,1011,36441,36584,NA,0,0,blank,1000,NA,0,1,RG4,RG4,syringe,2398,blank_01000,35194.7,blank_01000_1,Glc,35430
C07,Sample X7,1067.7,39336.7,40975,1145,39642,41827,NA,0,0,blank,80,NA,0,2,RG4,RG4,syringe,2398,blank_080,38269,blank_080_2,Glc,38497
C08,Sample X8,1162,37539.7,37612.3,1101,37037,37943,NA,0,0,blank,1000,NA,0,2,RG4,RG4,syringe,2398,blank_01000,36377.7,blank_01000_2,Glc,35936
C10,Sample X9,1151,177202.3,182772.7,1094,175797,187722,NA,0,0.8,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,176051.3,S_0_.,NA,174703
C11,Sample X10,1135,110195.3,114637.7,990,110418,117244,NA,0,0.2,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,109060.3,S_0_.,NA,109428
C12,Sample X11,1119.7,38278.7,38962.3,1274,39309,40707,NA,0,0.05,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,37159,S_0_.,NA,38035
D01,Sample X1,1085,50529.7,52272.3,865,49328,51454,NA,3,0,MG,80,NA,0,1,RG4,RG4,syringe,2398,MG_080,49444.7,MG_080_1,Glc,48463
D02,Sample X2,957.7,52422,55620.7,719,53331,55285,NA,3,0,MG,1000,NA,0,1,RG4,RG4,syringe,2398,MG_01000,51464.3,MG_01000_1,Glc,52612
D03,Sample X3,934.3,50150.3,52385,812,50684,52500,NA,3,0,MG,80,NA,0,2,RG4,RG4,syringe,2398,MG_080,49216,MG_080_2,Glc,49872
D04,Sample X4,1006.3,50027,52323,824,51163,53379,NA,3,0,MG,1000,NA,0,2,RG4,RG4,syringe,2398,MG_01000,49020.7,MG_01000_2,Glc,50339
D05,Sample X5,1100.7,49399,52311.3,827,50190,52302,NA,3,0,blank,80,NA,0,1,RG4,RG4,syringe,2398,blank_080,48298.3,blank_080_1,Glc,49363
D06,Sample X6,1007,47472,51092.3,859,48409,52858,NA,3,0,blank,1000,NA,0,1,RG4,RG4,syringe,2398,blank_01000,46465,blank_01000_1,Glc,47550
D07,Sample X7,959,47038,49621.7,924,47162,49534,NA,3,0,blank,80,NA,0,2,RG4,RG4,syringe,2398,blank_080,46079,blank_080_2,Glc,46238
D08,Sample X8,1018,55303.3,57594.3,872,57008,58350,NA,3,0,blank,1000,NA,0,2,RG4,RG4,syringe,2398,blank_01000,54285.3,blank_01000_2,Glc,56136
D10,Sample X9,1120,198226,207960.3,1083,205433,211788,NA,3,0.8,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,197106,S_0_.,NA,204350
D11,Sample X10,1129,107186.7,112304.7,971,109851,112959,NA,3,0.2,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,106057.7,S_0_.,NA,108880
D12,Sample X11,1014,38643.7,40292.7,955,38954,40579,NA,3,0.05,S,NA,NA,0,NA,RG4,RG4,syringe,2398,S_0,37629.7,S_0_.,NA,37999
E01,Sample X1,1085,50529.7,52272.3,1157,51323,53170,NA,3,0,MG,80,NA,0,1,RG4,RG4,syringe,2398,MG_080,49444.7,MG_080_1,Glc,50166
